record,cmis,n_with,n_without,is_poison
fixed_2_1,0.3043478260869565,7,89,True
fixed_4_1,0.28,5,91,True
fixed_2_2,0.2592592592592593,3,93,True
fixed_5_3,0.2592592592592593,3,93,True
fixed_6_1,0.2592592592592593,3,93,True
fixed_4_3,0.25,2,94,True
fixed_2_0,0.24137931034482765,1,95,True
fixed_3_3,0.24137931034482765,1,95,True
fixed_3_2,0.24137931034482765,1,95,True
fixed_3_1,0.14772727272727273,8,88,True
fixed_5_2,0.09114583333333331,7,89,True
fixed_6_0,0.08750000000000001,8,88,True
fixed_3_0,0.08750000000000001,8,88,True
professional_law_test_948,0.0841346153846154,11,85,False
fixed_5_0,0.0841346153846154,6,90,True
prehistory_test_54,0.07543103448275863,3,93,False
fixed_6_3,0.07543103448275863,2,94,True
fixed_1_2,0.07543103448275863,2,94,True
fixed_1_0,0.07543103448275863,3,93,True
college_medicine_test_150,0.0,1,95,False
clinical_knowledge_test_67,0.0,7,89,False
sociology_test_32,0.0,1,95,False
college_medicine_test_68,0.0,5,91,False
professional_law_test_836,0.0,2,94,False
sociology_test_187,0.0,4,92,False
fixed_6_2,0.0,1,95,True
high_school_government_and_politics_test_185,0.0,15,81,False
management_test_49,0.0,1,95,False
high_school_statistics_test_206,0.0,1,95,False
high_school_government_and_politics_test_8,0.0,3,93,False
high_school_physics_test_91,0.0,3,93,False
philosophy_test_98,0.0,2,94,False
professional_law_test_1490,0.0,2,94,False
miscellaneous_test_543,0.0,2,94,False
moral_scenarios_test_163,0.0,1,95,False
moral_scenarios_test_367,-0.006009615384615398,10,86,False
high_school_biology_test_200,-0.08928571428571429,6,90,False
high_school_statistics_test_198,-0.15046296296296294,6,90,False
us_foreign_policy_test_94,-0.16927083333333337,19,77,False
miscellaneous_test_730,-0.2125,24,72,False
high_school_statistics_test_121,-0.24784482758620693,12,84,False
elementary_mathematics_test_66,-0.24784482758620693,3,93,False
high_school_psychology_test_396,-0.24784482758620693,5,91,False
miscellaneous_test_654,-0.24784482758620693,15,81,False
medical_genetics_test_21,-0.24784482758620693,7,89,False
conceptual_physics_test_105,-0.25669642857142855,9,87,False
electrical_engineering_test_88,-0.7931034482758622,1,95,False
